ticker,nome_pregao,cod_cvm,segmento
CXSE3,CAIXA SEGURI,023795,Seguradoras
CAMB3,CAMBUCI,002100,Calçados
CAML3,CAMIL,024228,Alimentos Diversos
CEAB3,CEA MODAS,024848,Tecidos. Vestuário e Calçados
MAPT3,CEMEPE,013854,Outros
MAPT4,CEMEPE,013854,Outros
CLSC3,CELESC,002461,Energia Elétrica
CLSC4,CELESC,002461,Energia Elétrica
PCAR3,P.ACUCAR-CBD,014826,Alimentos
CASN3,CASAN,016861,Água e Saneamento
CASN4,CASAN,016861,Água e Saneamento
GPAR3,CELGPAR,021393,Energia Elétrica
CEGR3,CEG,016616,Gás
CEEB3,COELBA,014524,Energia Elétrica
CEEB5,COELBA,014524,Energia Elétrica
CEEB6,COELBA,014524,Energia Elétrica
CEBR3,CEB,014451,Energia Elétrica
CEBR5,CEB,014451,Energia Elétrica
CEBR6,CEB,014451,Energia Elétrica
CMIG3,CEMIG,002453,Energia Elétrica
CMIG4,CEMIG,002453,Energia Elétrica
COCE3,COELCE,014869,Energia Elétrica
COCE5,COELCE,014869,Energia Elétrica
COCE6,COELCE,014869,Energia Elétrica
CEED3,CEEE-D,020648,Energia Elétrica
CEED4,CEEE-D,020648,Energia Elétrica
FESA3,FERBASA,003069,Siderurgia
FESA4,FERBASA,003069,Siderurgia
CEDO3,CEDRO,003077,Fios e Tecidos
CEDO4,CEDRO,003077,Fios e Tecidos
CGAS3,COMGAS,015636,Gás
CGAS5,COMGAS,015636,Gás
HBTS3,HABITASUL,003298,Exploração de Imóveis
HBTS5,HABITASUL,003298,Exploração de Imóveis
HBTS6,HABITASUL,003298,Exploração de Imóveis
CATA3,IND CATAGUAS,003395,Fios e Tecidos
CATA4,IND CATAGUAS,003395,Fios e Tecidos
MSPA3,MELHOR SP,003654,Papel e Celulose
MSPA4,MELHOR SP,003654,Papel e Celulose
CPLE3,COPEL,014311,Energia Elétrica
CPLE99,COPEL,014311,Energia Elétrica
PEAB3,PAR AL BAHIA,018708,Exploração de Imóveis
PEAB4,PAR AL BAHIA,018708,Exploração de Imóveis
SBSP3,SABESP,014443,Água e Saneamento
CSMG3,COPASA,019445,Água e Saneamento
SAPR3,SANEPAR,018627,Água e Saneamento
SAPR4,SANEPAR,018627,Água e Saneamento
SAPR11,SANEPAR,018627,Água e Saneamento
CSNA3,SID NACIONAL,004030,Siderurgia
CTSA3,SANTANENSE,004081,Fios e Tecidos
CTSA4,SANTANENSE,004081,Fios e Tecidos
VVEO3,VIVEO,025682,Medicamentos e Outros Produtos
VVEO1,VIVEO,025682,Medicamentos e Outros Produtos
COGN3,COGNA ON,017973,Serviços Educacionais
COMR3,COMERC PAR,026280,Energia Elétrica
CBAV3,CBA,025984,Minerais Metálicos
PASS3,COMPASS,025127,Gás
CRTE3,CONC RIO TER,019208,Exploração de Rodovias
CRTE5,CONC RIO TER,019208,Exploração de Rodovias
ODER3,ODERICH,004693,Alimentos Diversos
ODER4,ODERICH,004693,Alimentos Diversos
CALI3,CONST A LIND,004723,Incorporações
CALI11,CONST A LIND,004723,Incorporações
TEND3,TENDA,021148,Incorporações
CTAX3,CONTAX,019100,Serviços Diversos
CSAN3,COSAN,019836,Exploração. Refino e Distribuição
CPFE3,CPFL ENERGIA,018660,Energia Elétrica
CSED3,CRUZEIRO EDU,025526,Serviços Educacionais
CMIN3,CSNMINERACAO,025585,Minerais Metálicos
CSUD3,CSU DIGITAL,020044,Serviços Financeiros Diversos
CTCA3,CTC S.A.,023981,Agricultura
CURY3,CURY S/A,025100,Incorporações
CVCB3,CVC BRASIL,023310,Viagens e Turismo
LLBI3,LE BISCUIT,025542,Produtos Diversos
CYRE3,CYRELA REALT,014460,Incorporações
CYRE4,CYRELA REALT,014460,Incorporações
CYRE99,CYRELA REALT,014460,Incorporações
DMVF3,D1000VFARMA,025046,Medicamentos e Outros Produtos
DEFT31,DEFI TECH,059436,Não Classificados
DESK3,DESKTOP,026026,Telecomunicações
DXCO3,DEXCO,021091,Madeira
DEXP3,DEXXOS PAR,016632,Petroquímicos
DEXP4,DEXXOS PAR,016632,Petroquímicos
DASA3,DASA,019623,Serv.Méd.Hospit..Análises e Diagnósticos
PNVL3,DIMED,009342,Medicamentos e Outros Produtos
DIRR3,DIRECIONAL,021350,Incorporações
DOHL3,DOHLER,005207,Fios e Tecidos
DOHL4,DOHLER,005207,Fios e Tecidos
DOTZ3,DOTZ SA,025836,Programas de Fidelização
DTCY3,DTCOM-DIRECT,018597,Serviços Diversos
DTCY4,DTCOM-DIRECT,018597,Serviços Diversos
ECOM3,ECONOMATICA,026077,Programas e Serviços
ECOR3,ECORODOVIAS,019453,Exploração de Rodovias
EALT3,ACO ALTONA,005380,Máq. e Equip. Industriais
EALT4,ACO ALTONA,005380,Máq. e Equip. Industriais
EKTR3,ELEKTRO,017485,Energia Elétrica
EKTR4,ELEKTRO,017485,Energia Elétrica
EMAE3,EMAE,016993,Energia Elétrica
EMAE4,EMAE,016993,Energia Elétrica
EPAR3,EMBPAR S/A,015458,Holdings Diversificadas
EMBJ3,EMBRAER,020087,Material Aeronáutico e de Defesa
PGMN3,PAGUE MENOS,022608,Medicamentos e Outros Produtos
ENMT3,ENERGISA MT,014605,Energia Elétrica
ENMT4,ENERGISA MT,014605,Energia Elétrica
ENGI3,ENERGISA,015253,Energia Elétrica
ENGI4,ENERGISA,015253,Energia Elétrica
ENGI11,ENERGISA,015253,Energia Elétrica
ENGI12,ENERGISA,015253,Energia Elétrica
ENEV3,ENEVA,021237,Energia Elétrica
EGIE3,ENGIE BRASIL,017329,Energia Elétrica
ENJU3,ENJOEI,025259,Programas e Serviços
EQPA3,EQTL PARA,018309,Energia Elétrica
EQPA5,EQTL PARA,018309,Energia Elétrica
EQPA6,EQTL PARA,018309,Energia Elétrica
EQPA7,EQTL PARA,018309,Energia Elétrica
EQTL3,EQUATORIAL,020010,Energia Elétrica
EFXB31,EQUIFAXBRL,059390,Serviços Financeiros Diversos
ETER3,ETERNIT,005762,Produtos para Construção
EUCA3,EUCATEX,005770,Madeira
EUCA4,EUCATEX,005770,Madeira
EVEB31,EVE BRASIL,059422,Não Classificados
EVEN3,EVEN,020524,Incorporações
EVTC31,EVERTEC INC,059391,Serviços Financeiros Diversos
BAUH3,EXCELSIOR,001570,Carnes e Derivados
BAUH4,EXCELSIOR,001570,Carnes e Derivados
EXPB31,EXPERIAN PLC,059420,Programas e Serviços
EZTC3,EZTEC,020770,Incorporações
CBTC39,21SH BITCOIN,050110,Não Classificados
AADA39,21SH CARDANO,050104,Não Classificados
BASK39,21SH BASKET,050101,Não Classificados
AETH39,21SH ETHEREU,050102,Não Classificados
SOLN39,21SH SOLANA,050103,Não Classificados
AXRP39,21SH XRP ETP,050107,Não Classificados
QVQP3,524 PARTICIP,016284,Outros
ABGD39,ABDEN GOLD,050335,Não Classificados
G1TR39,ABRDN PMETAL,050062,Não Classificados
SIVR39,ABDEN SILV,050327,Não Classificados
AERI3,AERIS,025283,Máq. e Equip. Industriais
AFLT3,AFLUENTE T,022179,Energia Elétrica
AGXY3,AGROGALAXY,025658,Agricultura
RPAD3,ALFA HOLDING,009954,Bancos
RPAD5,ALFA HOLDING,009954,Bancos
RPAD6,ALFA HOLDING,009954,Bancos
APTI3,ALIPERTI,012823,Agricultura
APTI4,ALIPERTI,012823,Agricultura
AALR3,ALLIAR,024058,Serv.Méd.Hospit..Análises e Diagnósticos
ALLD3,ALLIED,025330,Eletrodomésticos
ALOS3,ALLOS,022357,Exploração de Imóveis
ALPK3,ESTAPAR,024953,Serviços Diversos
ALPA3,ALPARGATAS,010456,Calçados
ALPA4,ALPARGATAS,010456,Calçados
AVLL3,ALPHAVILLE,025275,Incorporações
AVLL11,ALPHAVILLE,025275,Incorporações
AVLL12,ALPHAVILLE,025275,Incorporações
ALUP3,ALUPAR,021490,Energia Elétrica
ALUP4,ALUPAR,021490,Energia Elétrica
ALUP11,ALUPAR,021490,Energia Elétrica
ABEV3,AMBEV S/A,023264,Cervejas e Refrigerantes
AMBP3,AMBIPAR,024961,Água e Saneamento
AMER3,AMERICANAS,020990,Produtos Diversos
AMER11,AMERICANAS,020990,Produtos Diversos
CBEE3,AMPLA ENERG,003050,Energia Elétrica
ANIM3,ANIMA,023248,Serviços Educacionais
ARND3,ARANDU,025887,Holdings Diversificadas
ARML3,ARMAC,026069,Serviços Diversos
ATED3,ATOM EDUC,027677,Serviços Educacionais
AURA33,AURA 360,080187,Minerais Metálicos
AURE3,AUREN,026620,Energia Elétrica
AESO3,AESOPERACOES,026174,Energia Elétrica
AMOB3,AUTOMOB,027707,Automóveis e Motocicletas
AXIA3,AXIA ENERGIA,002437,Energia Elétrica
AXIA7,AXIA ENERGIA,002437,Energia Elétrica
AXIA99,AXIA ENERGIA,002437,Energia Elétrica
AXIA98,AXIA ENERGIA,002437,Energia Elétrica
