ticker,nome_pregao,cod_cvm,segmento,cnpj,nome_cvm,setor,sit,nome,tipo
ANIM3,ANIMA,023248,Serviços Educacionais,09.288.252/0001-32,ANIMA HOLDING S/A,Educação,ATIVO,ANIMA HOLDING S/A,acao
ARND3,ARANDU,025887,Holdings Diversificadas,14.127.813/0001-51,ARANDU INVESTIMENTOS S.A.,Adm. Part. - Intermediação Financeira,ATIVO,ARANDU INVESTIMENTOS S.A.,acao
ARML3,ARMAC,026069,Serviços Diversos,00.242.184/0001-04,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",Serviços Transporte e Logística,ATIVO,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",acao
ATED3,ATOM EDUC,027677,Serviços Educacionais,23.994.857/0001-70,ATOM EDUCAÇÃO E EDITORA S.A.,Educação,ATIVO,ATOM EDUCAÇÃO E EDITORA S.A.,acao
AURA33,AURA 360,080187,Minerais Metálicos,,,,,AURA 360,acao
AURE3,AUREN,026620,Energia Elétrica,28.594.234/0001-23,AUREN ENERGIA S.A,Energia Elétrica,ATIVO,AUREN ENERGIA S.A,acao
AESO3,AESOPERACOES,026174,Energia Elétrica,00.194.724/0001-13,AUREN OPERAÇÕES S.A.,Adm. Part. - Energia Elétrica,ATIVO,AUREN OPERAÇÕES S.A.,acao
AMOB3,AUTOMOB,027707,Automóveis e Motocicletas,35.654.688/0001-08,AUTOMOB PARTICIPAÇÕES S.A.,Serviços Transporte e Logística,ATIVO,AUTOMOB PARTICIPAÇÕES S.A.,acao
AXIA3,AXIA ENERGIA,002437,Energia Elétrica,00.001.180/0001-26,AXIA ENERGIA S.A.,Adm. Part. - Energia Elétrica,ATIVO,AXIA ENERGIA S.A.,acao
AXIA7,AXIA ENERGIA,002437,Energia Elétrica,00.001.180/0001-26,AXIA ENERGIA S.A.,Adm. Part. - Energia Elétrica,ATIVO,AXIA ENERGIA S.A.,acao
AXIA99,AXIA ENERGIA,002437,Energia Elétrica,00.001.180/0001-26,AXIA ENERGIA S.A.,Adm. Part. - Energia Elétrica,ATIVO,AXIA ENERGIA S.A.,acao
AXIA98,AXIA ENERGIA,002437,Energia Elétrica,00.001.180/0001-26,AXIA ENERGIA S.A.,Adm. Part. - Energia Elétrica,ATIVO,AXIA ENERGIA S.A.,acao
AZTE3,AZT ENERGIA,027626,Exploração. Refino e Distribuição,52.017.473/0001-03,AZEVEDO & TRAVASSOS ENERGIA S.A.,Petróleo e Gás,ATIVO,AZEVEDO & TRAVASSOS ENERGIA S.A.,acao
AZTE11,AZT ENERGIA,027626,Exploração. Refino e Distribuição,52.017.473/0001-03,AZEVEDO & TRAVASSOS ENERGIA S.A.,Petróleo e Gás,ATIVO,AZEVEDO & TRAVASSOS ENERGIA S.A.,fii
AZEV3,AZEVEDO,011975,Construção Pesada,61.351.532/0001-68,AZEVEDO & TRAVASSOS SA,Constr. e Decoração,ATIVO,AZEVEDO & TRAVASSOS SA,acao
AZEV4,AZEVEDO,011975,Construção Pesada,61.351.532/0001-68,AZEVEDO & TRAVASSOS SA,Constr. e Decoração,ATIVO,AZEVEDO & TRAVASSOS SA,acao
AZEV11,AZEVEDO,011975,Construção Pesada,61.351.532/0001-68,AZEVEDO & TRAVASSOS SA,Constr. e Decoração,ATIVO,AZEVEDO & TRAVASSOS SA,fii
AZEV12,AZEVEDO,011975,Construção Pesada,61.351.532/0001-68,AZEVEDO & TRAVASSOS SA,Constr. e Decoração,ATIVO,AZEVEDO & TRAVASSOS SA,acao
AZUL3,AZUL,024112,Transporte Aéreo,09.305.994/0001-29,AZUL S.A.,Adm. Part. - Serviços Transporte e Logística,ATIVO,AZUL S.A.,acao
AZUL98,AZUL,024112,Transporte Aéreo,09.305.994/0001-29,AZUL S.A.,Adm. Part. - Serviços Transporte e Logística,ATIVO,AZUL S.A.,acao
AZUL97,AZUL,024112,Transporte Aéreo,09.305.994/0001-29,AZUL S.A.,Adm. Part. - Serviços Transporte e Logística,ATIVO,AZUL S.A.,acao
AZUL99,AZUL,024112,Transporte Aéreo,09.305.994/0001-29,AZUL S.A.,Adm. Part. - Serviços Transporte e Logística,ATIVO,AZUL S.A.,acao
AZUL19,AZUL,024112,Transporte Aéreo,09.305.994/0001-29,AZUL S.A.,Adm. Part. - Serviços Transporte e Logística,ATIVO,AZUL S.A.,acao
AZZA3,AZZAS 2154,022349,Tecidos. Vestuário e Calçados,16.590.234/0001-76,AZZAS 2154 S.A.,Têxtil e Vestuário,ATIVO,AZZAS 2154 S.A.,acao
B1003,B100 S.A.,027634,Serviços Diversos,52.270.350/0001-71,B100 S.A.,Intermediação Financeira,ATIVO,B100 S.A.,acao
B3SA3,B3,021610,Serviços Financeiros Diversos,09.346.601/0001-25,"B3 S.A. - BRASIL, BOLSA, BALCÃO",Bolsas de Valores/Mercadorias e Futuros,ATIVO,"B3 S.A. - BRASIL, BOLSA, BALCÃO",acao
